time points;83.606615178236524
temporal features;67.997120257349195
artificial intelligence;59.574390102653844
time intervals;57.883324096228002
time line;50.536165278733051
semantic web;43.851293819788246
time interval;43.505487178482213
synthetic theory;41.588830833596717
temporal relations;39.501747357914248
temporal representation;37.10334822182827
temporal logic;36.381290329696064
temporal reasoning;34.106386743174745
temporal incidence;33.528312391595506
features of time;33.271064666877372
temporal properties;32.388828770830841
reviewed theories;31.165346784618379
temporal elements;30.457043448604324
computer science;30.036377824264296
query language;28.789716323075549
time community;27.710101960960213
intl conf;26.366694928034633
ontologies of time;26.013345821065482
temporal information;23.965858188431927
temporal description logics;23.070858062030304
interval relations;21.196059557905205
theories of temporal incidence;20.407184289972932
nary relations;19.939544268204173
description logics;19.654527953693918
time point;19.476032244907973
time community sentiment;19.068322982087675
representation of time;18.546254720149896
triple stores;17.954645502230758
temporal ontologies;17.666633874998642
taxonomy of temporal features;16.836479149932369
periodic subintervals;15.222612188617115
reviewed ontologies;14.722194895832201
time instants;14.534713025615376
temporal intervals;14.451858789480823
time domain;14.387371636790224
temporal measures;14.16606672028108
allens relations;13.862943611198906
temporal aspects;13.862943611198906
 ermolayev;13.354993539365466
time lines;13.047982193632926
reviewed temporal theories;13.032386152085929
temporal region;12.863238455235498
scale factors;12.824746787307683
implemented ontologies;12.364169813433264
qualitative relations;12.178089750893692
time structure;12.022372279358398
information systems;11.777755916665761
temporal structures;11.777755916665761
structuring of time;11.777755916665761
nary relation;11.285777172830763
temporal rdf;11.182079924046002
owltime ontology;11.090354888959125
concrete domains;11.090354888959125
binary relations;11.090354888959125
intl symp;10.986122886681098
density of time;10.83220080440884
temporal logics;10.83220080440884
intl joint conf;10.83220080440884
temporal location;10.76621070741362
performance simulation initiative;10.489522684399441
bag of terms;9.9396265991520014
temporal structure;9.9098460270725646
highlevel temporal features;9.8875105980129874
sufficient expressive power;9.8875105980129874
allens interval relations;9.6566274746046012
different granularities;9.406482647787449
concise representation;9.2731273600749482
semantic web standards;9.2731273600749482
formal representations;9.2731273600749482
valid time;9.2103403719761836
different granularity;9.1335673131702695
different time lines;8.987196820661973
branching structure;8.8333169374993208
time representation;8.8333169374993208
distributed systems;8.8333169374993208
subsequent sections;8.8333169374993208
clinical narratives;8.8333169374993208
number of citations;8.8333169374993208
situation calculus;8.6711152736884927
highlevel features;8.6711152736884927
anisotropy of time;8.6711152736884927
time ontology;8.6275569296433492
implied relations;8.4996400321686494
timeline ontology;8.4996400321686494
basic time theory;8.4996400321686494
time model;8.4428120076448359
realtime systems;8.317766166719343
calendar systems;8.317766166719343
ontology of time;8.317766166719343
